instance,method,runs,avg_C1,avg_C2,avg_C3,best_C1,best_C2,best_C3,avg_runtime_sec,best_seed
instance1.json,local,10,38.9,32.2,-6.2,39,34,-3,0.092821,8
instance1.json,no_local,10,37.0,31.4,-6.2,38,32,-3,0.000311,8
instance10.json,local,10,219.6,151.4,-1.7,220,160,-2,0.434843,6
instance10.json,no_local,10,216.5,140.4,-1.7,218,145,-2,0.001526,8
instance2.json,local,10,43.0,39.0,-5.2,43,41,-5,0.090019,5
instance2.json,no_local,10,40.8,37.2,-5.2,43,37,-5,0.0003,7
instance3.json,local,10,94.0,73.6,-4.5,94,83,-4,0.15277,3
instance3.json,no_local,10,90.8,66.0,-4.5,93,67,-3,0.00051,2
instance4.json,local,10,95.0,72.8,-4.2,95,76,-4,0.155095,7
instance4.json,no_local,10,92.3,66.1,-4.2,94,74,-4,0.000569,9
instance5.json,local,10,154.0,119.5,-12.4,154,126,-16,0.245443,9
instance5.json,no_local,10,153.0,113.3,-12.4,154,121,-16,0.00096,9
instance6.json,local,10,157.0,121.3,-9.9,157,131,-7,0.251063,4
instance6.json,no_local,10,155.5,113.8,-9.9,157,121,-9,0.000933,2
instance7.json,local,10,193.8,131.2,-2.4,194,138,-2,0.342162,5
instance7.json,no_local,10,190.4,119.9,-2.4,193,120,-2,0.001311,5
instance8.json,local,10,183.0,131.0,-6.3,183,143,-7,0.329517,5
instance8.json,no_local,10,181.3,119.9,-6.3,183,133,-7,0.001242,5
instance9.json,local,10,220.9,149.6,-1.2,221,156,-1,0.430553,9
instance9.json,no_local,10,218.2,138.7,-1.2,220,146,-1,0.001564,9
